"id","name","bat_side","side","avg_batter_y_position","avg_batter_x_position","avg_foot_sep","avg_stance_angle","avg_intercept_y_vs_batter","avg_intercept_y_vs_plate"
672515,"Moreno, Gabriel","R","R",29.253047091196365,25.88012398810997,29.478149280349214,-20.178322241504873,35.006915583589034,5.753868492392684
641487,"Crawford, J.P.","L","L",33.67377409208835,27.602162513540062,32.34144317508144,-29.748302813191916,37.76727654210574,4.0935024500173895
694192,"Chourio, Jackson","R","R",25.473447727067008,31.689807905236314,41.15539552383413,2.6490037147933383,29.64361730876555,4.170169581698544
514888,"Altuve, Jose","R","R",11.146593795773992,32.487414116115154,29.299331241149005,-13.0359491876636,27.814225463592116,16.667631667818128
803011,"Antonacci, Sam","L","L",30.332499149937828,24.573221127865818,39.22824893903715,-6.201426605761112,31.0537371642289,0.7212380142910757
592626,"Pederson, Joc","L","L",30.310017331149467,23.436692749199366,23.569508667515382,-18.097866242312563,28.925882384961167,-1.3841349461882935
605137,"Bell, Josh","L","L",28.761864034332294,28.433069820752905,37.05294364382601,-12.722073667439172,27.02093199092856,-1.7409320434037425
664034,"France, Ty","R","R",29.244358657747,26.828722633959206,30.561625167001715,-32.95945511133088,26.931127198135652,-2.3132314596113424
553993,"Suárez, Eugenio","R","R",18.46576655756717,24.088005938155106,20.558349775767603,-26.055742141192386,34.391626379904395,15.925859822337218
606466,"Marte, Ketel","L","L",30.796505550318166,20.289812251893636,18.26129103796338,-15.423259558484485,37.60645768078925,6.809952130471078
671218,"Ramos, Heliot","R","R",28.1567231194684,29.173691064677996,25.830665004362626,-6.171049696284514,26.211996616446267,-1.9447265030221386
593428,"Bogaerts, Xander","R","R",24.429210396796066,29.309806328969866,31.811988452801202,-4.265513459543159,33.85867807913917,9.429467682343113
669364,"Edwards, Xavier","L","L",25.27006472692256,24.265295454412612,31.6830213948425,-13.26187658415124,30.991727599748135,5.721662872825579
678554,"Mead, Curtis","R","R",33.95133051185464,26.278192639133756,15.596540412969867,-16.316920126486153,31.3899081201577,-2.561422391696928
689414,"Hicks, Liam","L","L",28.843087370853553,24.08932145255604,21.634730345474843,-36.20072046621156,30.464469218748594,1.621381847895034
683953,"Bazzana, Travis","L","L",30.614715208467082,27.456541500844917,26.63526034800906,-0.6672701291434727,34.2783480557853,3.6636328473182185
682177,"Schneemann, Daniel","L","L",31.973247387165323,24.26257468254157,32.598079070122374,-14.962696134162705,35.270745578875335,3.297498191710012
502671,"Goldschmidt, Paul","R","R",20.22521003485841,34.75849402500286,36.78239699811018,-2.5161634292963213,20.032689641038854,-0.1925203938195581
665742,"Soto, Juan","L","L",23.65443064345666,28.65562170844691,43.402126890483586,-11.993441846132983,25.383022454997285,1.7285918115406191
668904,"Lewis, Royce","R","R",27.554108181678206,29.54301363090967,28.29130340590753,4.103533598340982,32.352692757910035,4.798584576231838
592885,"Yelich, Christian","L","L",27.482999685335685,29.83467914148972,33.201144906636344,0.43854472298195635,26.031468044134375,-1.4515316412013077
645277,"Albies, Ozzie","L","L",35.56335742663242,23.046018189215477,39.92389029789035,-34.654968114521196,37.611933419986066,2.048575993353636
663616,"Larnach, Trevor","L","L",29.50953449670675,25.3246644906473,36.747398134423825,-0.40464108474460564,38.21524153552977,8.705707038823022
671732,"Butler, Lawrence","L","L",26.07557817754211,31.017999597241715,34.027950787832985,3.1119664811954464,26.28702810594548,0.21144992840337157
808959,"Murakami, Munetaka","L","L",28.84983971013325,27.506732097126818,28.135784061810444,-7.453633618002764,33.72819259098554,4.878352880852283
668804,"Reynolds, Bryan","L","L",25.505377983450632,26.785664136732674,42.2456306984376,-2.5691558566717445,25.169319235694168,-0.3360587477564718
